City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
163,Fairbanks,64.8378,-147.7164,-9.4,77,90,1.03,US,2021-02-06 15:38:26
164,Geraldton,-28.7667,114.6,69.8,88,90,27.63,AU,2021-02-06 15:42:08
165,Puerto Ayora,-0.7393,-90.3518,82.4,74,40,17.27,EC,2021-02-06 15:40:05
166,Pisco,-13.7,-76.2167,73.0,83,75,9.22,PE,2021-02-06 15:43:05
167,Byron Bay,-28.65,153.6167,71.6,88,100,2.21,AU,2021-02-06 15:43:07
168,Sampit,-2.5333,112.95,75.31,96,94,1.83,ID,2021-02-06 15:43:07
169,Norman Wells,65.282,-126.8329,-38.2,74,40,4.61,CA,2021-02-06 15:43:07
170,Pevek,69.7008,170.3133,-1.84,86,100,1.32,RU,2021-02-06 15:43:07
171,Iqaluit,63.7506,-68.5145,21.2,86,75,14.97,CA,2021-02-06 15:42:41
172,Ajdabiya,30.7554,20.2263,69.08,33,85,5.59,LY,2021-02-06 15:43:07
173,Talnakh,69.4865,88.3972,-29.24,76,0,3.56,RU,2021-02-06 15:40:25
174,Padang,-0.9492,100.3543,77.0,83,20,1.14,ID,2021-02-06 15:42:50
175,Pemangkat,1.1667,108.9667,77.7,89,100,9.33,ID,2021-02-06 15:41:09
176,Hay River,60.8156,-115.7999,-41.8,66,98,1.14,CA,2021-02-06 15:43:08
177,Georgetown,5.4112,100.3354,86.0,70,20,3.44,MY,2021-02-06 15:39:43
178,Parabel,58.6978,81.4825,32.88,97,91,11.83,RU,2021-02-06 15:43:08
179,Nelson Bay,-32.7167,152.15,71.01,100,75,4.61,AU,2021-02-06 15:43:08
180,Soligalich,59.0778,42.2864,-4.74,90,100,9.46,RU,2021-02-06 15:43:08
181,Ketchikan,55.3422,-131.6461,35.6,100,90,3.44,US,2021-02-06 15:40:44
182,Arraial Do Cabo,-22.9661,-42.0278,75.2,73,75,4.61,BR,2021-02-06 15:40:47
183,Christchurch,-43.5333,172.6333,60.01,77,90,11.5,NZ,2021-02-06 15:40:41
184,Swinoujscie,53.9105,14.2471,28.99,72,3,4.0,PL,2021-02-06 15:43:08
